,序号,标题,最后更新,emotion_sentiment,stock,separated
25,6120,001压力还是蛮大的，上市一号，重组一号，后面呢[大笑],2019年12月15日,2,688001,压力 蛮大 上市 一号 重组 一号 后面 大笑
26,8176,要跌到40元,2019年9月23日,0,688001,跌 元
27,9871,上市公司拿走了；  机构赚钱抛完了；  剩下的，你们玩吧。,2019年8月4日,0,688001,上市公司 拿走 机构 赚钱 抛 完 剩下 玩吧
28,1337,华兴源创：主力资金净流入133.54万元，净占比2.26%（01-14）,2021年1月14日,2,688001,主力 资金 净流入 万元 净 占
29,858,华兴源创：融资净偿还86.68万元，融资余额5736.03万元（05-11）,2021年5月12日,2,688001,融资 净 偿还 万元 融资 余额 万元
30,12401,4314中签,2019年6月28日,2,688001,中签
31,5969,机构反手融券做空，双赢，你们能吗？能融券吗？不妨试试看看有没券融。,2019年12月19日,0,688001,机构 反手 融券 做空 双赢 融券 试试看 看有 没券融
32,3520,不到就是个二百五嘛，一只把它吃掉,2020年5月27日,0,688001,不到 二百五 一只 吃掉
33,7064,688001:华兴源创关于发行股份及支付现金购买资产并募集配套资金的一般风险提示公告,2019年12月6日,2,688001,发行 股份 支付现金 购买 资产 募集 配套 资金 风险 提示 公告
34,12410,1840没中，也没指望中，因为跟买彩票一样，而且还有黑幕,2019年6月28日,0,688001,没中 没指望 中 买 彩票 黑幕
35,6038,转发,2019年12月18日,2,688001,转发
36,6873,今天要涨停啊，不要怂就是干,2019年12月9日,0,688001,今天 涨停 不要 怂 干
37,5923,买啥科创板，买st好。,2019年12月21日,2,688001,买 科 创板 买
38,2377,股票名称和大股东名称倒来倒去真别扭，连个名字都不会起。还001。日眼的很。,2020年8月3日,0,688001,股票名称 股东 名称 倒来倒去 真 别扭 名字 都 不会 日眼
39,6048,早盘大涨要减仓！这是跑路的节奏！,2019年12月18日,0,688001,早盘 大涨 减仓 这是 跑路 节奏
40,1703,华兴源创本周融资净偿还701.09万元，居专用设备板块第十,2020年11月29日,2,688001,本周 融资 净 偿还 万元 居 专用设备 板块 第十
41,3701,垃圾,2020年5月19日,0,688001,垃圾
42,7257,科创板没韭菜，全都鬼精鬼精，庄家撒窝骗不了人了。,2019年11月21日,0,688001,科创板 没 韭菜 全都 鬼精 鬼精 庄家 撒窝 骗 不了
43,1580,要是不在科创板上市，市值不会这么低，走势也不会这么规律,2020年12月10日,0,688001,不在科 创板 上市 市值 不会 低 走势 不会 规律
44,4,这个股废了,2021年10月19日,0,688001,股废
45,11401,融券在卖,2019年7月22日,2,688001,融券 卖
46,3499,小瓦子，嘴硬！！[大笑][大笑][大笑],2020年5月27日,0,688001,小瓦子 嘴硬 大笑 大笑 大笑
47,10998,请问：分时成交的数据怎么看？明明显示有一笔买入2.2万手，然而成交金额却没有变化,2019年7月23日,0,688001,请问 分 时 成交 数据 明明 显示 一笔 买入 万手 成交 金额 没有 变化
48,9090,逢低买入代表科技创新的龙头！只有不断向上开拓才是当今文明社会的王道！！！,2019年8月15日,1,688001,逢 低 买入 代表 科技 创新 龙头 不断 向上 开拓 当今 文明 社会 王道
49,4808,还在忽悠小散，比股正在下降通道,2020年2月26日,0,688001,忽悠 小散 比股 正在 下降 通道
50,6396,看诚迈科技和韦尔股份都多钱了，相比特殊题材独特概念的68,2019年12月11日,2,688001,看诚 迈 科技 韦尔 股份 都 钱 相比 特殊 题材 独特 概念
51,7937,涨停有“鼎”“鼎”字牌牛股宝鼎科技002552、鼎捷软件300378有连续涨停你,2019年10月11日,0,688001,涨停 鼎 鼎 字牌 牛股 宝鼎 科技 鼎捷 软件 连续 涨停
52,6971,但愿欢笑的是小散，俺也是小散，同类相亲。,2019年12月8日,2,688001,但愿 欢笑 小散 小散 同类 相亲
53,5713,华兴源创(688001)融资融券信息(01-02),2020年1月3日,2,688001,融资 融券 信息
54,6678,奥福环保快上车！,2019年12月10日,2,688001,快上车
55,507,华兴源创：融资净偿还786.08万元，创近一年新高（07-26）,2021年7月27日,2,688001,融资 净 偿还 万元 创近 一年 新高
56,8905,到51，进一半仓位，快点跌,2019年8月21日,0,688001,进 一半 仓位 快点 跌
57,7842,这是逼着大家融券啊,2019年10月17日,0,688001,逼 大家 融券
58,6609,赞！！！科创板新玩法，打爆融券客,2019年12月10日,2,688001,赞 科创板 新 玩法 打爆 融券 客
59,1024,冲鸭,2021年3月21日,2,688001,冲 鸭
60,11543,中华振兴源于科创，这个股票能拿到001号是沾了名字光,2019年7月21日,2,688001,中华 振兴 源于 科创 股票 拿到 号 沾 名字 光
61,8399,这个孙子发互动问答从来不回。,2019年9月6日,0,688001,孙子 发 互动 问答 从来不 回
62,1280,华兴源创：主力资金净流出364.02万元，净占比-15.66%（01-27）,2021年1月27日,2,688001,主力 资金 净 流出 万元 净 占
63,13184,出头鸟难当！科创板第一股华兴源创即将申购，遭全网深扒,2019年6月20日,1,688001,出头鸟 难当 科创板 第一股 即将 申购 遭 全网 深 扒
64,10672,趣,2019年7月25日,2,688001,趣
65,3183,继续洗、更健康！筹码即将到位！,2020年6月16日,2,688001,继续 洗 更 健康 筹码 即将 到位
66,12552,一万人有近六个幸运者，这雨点砸谁头上都是钻石雨——可千万别打伞！[大笑],2019年6月28日,0,688001,一万 人有 近 六个 幸运者 雨点 砸 头上 都 钻石 雨 千万别 打伞 大笑
67,3550,落袋为安,2020年5月27日,2,688001,落袋 安
68,8810,已死？！,2019年8月23日,0,688001,已死
69,9438,华兴跟这两厮比较？？？是高估还是底估？？,2019年8月8日,0,688001,华兴 两 厮 比较 高估 底估
70,10353,主力埋伏了很久了，，是时候，出来拉高了。,2019年7月31日,0,688001,主力 埋伏 久 时候 拉高
71,3837,收盘下跌四个点左右,2020年5月8日,0,688001,收盘 下跌 四个 点 左右
72,3278,不是有重组.怎么没人要了,2020年6月12日,0,688001,重组 没人要
73,11144,这不应该成为少数人的资本盛宴，虽然我中签了，但是我还是希望这些股票上市当天就破净,2019年7月22日,0,688001,应该 成为 少数 资本 盛宴 中 签 希望 股票 上市 当天 破净
74,113,在座的各位都是50万元大户低调点…,2021年9月26日,1,688001,在座 都 万元 大户 低调 点
75,2203,自从7月15号下来，差不多两个月了，还要打压几天？[抓狂],2020年9月4日,0,688001,月 号 下来 差不多 两个 月 打压 几天 抓狂
76,5241,第一股没点担当,2020年2月3日,0,688001,第一股 没点 担当
77,7120,华兴源创：融资净偿还85.98万元，融资余额5171.79万元（12-02）,2019年12月3日,2,688001,融资 净 偿还 万元 融资 余额 万元
78,26,26是底，快的话月底见,2021年10月12日,2,688001,底 快 月底 见
79,7279,赶紧上,2019年11月19日,2,688001,赶紧
80,6479,套住了吧，52不跑！,2019年12月11日,0,688001,套住 跑
81,593,真让人无语的001！,2021年7月21日,0,688001,真让人 无语
82,12777,主战场有5400万人申购新股，科创板只有270万人申购新股，那么说中签率提高多少倍？,2019年6月27日,0,688001,主战场 万人 申购 新股 科创板 万人 申购 新股 说 中签率 提高 多少倍
83,9705,明天全面跌停,2019年8月6日,0,688001,明天 全面 跌停
84,5992,明天能突破近期高点吗，55来了吗,2019年12月18日,0,688001,明天 突破 近期 高点
85,6460,杀猪盘！,2019年12月11日,0,688001,杀猪 盘
86,10858,大跌买入，股玩正路。，,2019年7月24日,0,688001,大跌 买入 股玩 正路
87,4308,转发,2020年3月25日,2,688001,转发
88,5254,华兴源创共捐助价值逾150万元新型冠状病毒分子检测耗材,2020年1月31日,2,688001,共 捐助 价值 逾 万元 新型 冠状病毒 分子 检测 耗材
89,807,华兴源创(688001)融资融券信息(05-20),2021年5月21日,2,688001,融资 融券 信息
90,5999,华为新产品上市，精测电子借风起势,2019年12月18日,2,688001,华为 新 产品 上市 精测 电子 借风 起势
91,4789,华兴源创：2019年净利同比下降26.77%,2020年2月26日,2,688001,年 净利 同比 下降
92,6544,能否规定5G手机必须完全使用无线连接不得设有物理电接口？,2019年12月10日,0,688001,规定 手机 必须 完全 使用 无线连接 设有 物理 电 接口
93,12329,收到短信，中了大肉,2019年6月28日,2,688001,收到 短信 中 大肉
94,550,生活在这个社会的孩子们，虽然生活上是优越的，但属实也是最累的,2021年7月22日,2,688001,生活 社会 孩子 生活 优越 属实 最累
95,1000,华兴源创：融资净偿还1352元，融资余额5607.58万元（04-14）,2021年4月15日,2,688001,融资 净 偿还 元 融资 余额 万元
96,89,科创板上市委2021年第76次审议会议结果公告,2021年10月12日,0,688001,科创板 市委 年 第 次 审议 会议 公告
97,8032,华兴源创(688001)融资融券信息(09-27),2019年9月28日,2,688001,融资 融券 信息
98,860,今天帮朋友全清了，调了半仓进多氟多，,2021年5月12日,2,688001,今天 帮 朋友 全清 调 半仓 进多 氟
99,7490,华兴源创已经有设备交付上海特斯拉,2019年11月9日,2,688001,已经 设备 交付 上海 特斯拉
100,9782,美国科技股领跌。科技股全线大跌,2019年8月6日,0,688001,美国 科技股 领跌 科技股 全线 大跌
101,10010,创新高,2019年8月2日,2,688001,创新 高
102,7640,华兴源创(688001)融资融券信息(10-31),2019年11月1日,2,688001,融资 融券 信息
103,12452,啊啊啊,2019年6月28日,1,688001,啊啊啊
104,10996,游子拼命自救,2019年7月23日,2,688001,游子 拼命 自救
105,3205,下午跳不跳？,2020年6月15日,0,688001,下午 跳 跳
106,12511,什么时候出中签结果？,2019年6月28日,0,688001,时候 出中 签
107,156,的啥玩意,2021年9月7日,0,688001,玩意
108,3568,科创板重大资产重组“破冰”,2020年5月26日,2,688001,科创板 重大 资产重组 破冰
109,6777,华兴源创：融资净买入2228.29万元，融资余额7597.98万元（12-09）,2019年12月10日,2,688001,融资 净 买入 万元 融资 余额 万元
110,3240,688001:华兴源创发行股份及支付现金购买资产并募集配套资金暨关联交易报告书,2020年6月14日,2,688001,发行 股份 支付现金 购买 资产 募集 配套 资金 暨 关联 交易 报告书
111,4717,周一跳空高开随创业板上攻。,20209 11:01,2,688001,周一 跳空高开 创业板 上攻
112,3935,就大单压着，就耍流氓,2020年4月30日,0,688001,单压 耍流氓
113,4707,科技券商=大赚！今年就这么玩儿。你，值得拥有！呵呵……[献花],2020年3月2日,2,688001,科技 券商 赚 今年 玩儿 值得 拥有 献花
114,11044,买有锚的688001，锚是300567，二龙戏珠行情才远。其他都是扯淡，400%,2019年7月23日,0,688001,买 锚 锚 二龙戏珠 行情 远 都 扯淡
115,9642,跌五十个点都不会鸟，几百亿，你爱怎么样装逼自己装,2019年8月7日,0,688001,跌 五十个 点 都 不会 鸟 几百亿 爱 装逼 自己 装
116,8978,蔫了好几天了,2019年8月20日,0,688001,蔫 几天
117,11816,建议第一天不设涨跌停限制，涨10000%,2019年7月5日,2,688001,建议 第一天 不设 涨跌 停 限制 涨
118,11257,换手率能不能达到75%,2019年7月22日,0,688001,换手率 不能 达到
119,1810,华兴源创(688001)融资融券信息(11-09),2020年11月10日,2,688001,融资 融券 信息
120,10516,科创板001是什么来头？,2019年7月28日,0,688001,科创板 来头
121,5125,封一个！[献花],2020年2月11日,2,688001,封 一个 献花
122,7503,华兴源创(688001)融资融券信息(11-07),2019年11月8日,2,688001,融资 融券 信息
123,8533,科创第一,2019年8月31日,2,688001,科创 第一
124,11981,如同华源,2019年7月1日,1,688001,华源
125,11074,明天一地鸡毛,2019年7月22日,2,688001,明天 一地 鸡毛
126,790,华兴源创(688001)融资融券信息(05-26),2021年5月27日,2,688001,融资 融券 信息
127,2369,恶心给恶心开门，恶心到家了,2020年8月5日,0,688001,恶心 恶心 开门 恶心 到家
128,8621,科创板炒作告一段落,2019年8月29日,0,688001,科创板 炒作 告一段落
129,10130,目标价120，时间11月前。,2019年8月1日,2,688001,目标价 时间 月 前
130,4139,极品辣鸡！！,2020年4月9日,0,688001,极品 辣鸡
131,4870,华兴源创：融资净买入437.72万元，融资余额1.25亿元（02-21）,2020年2月24日,2,688001,融资 净 买入 万元 融资 余额 亿元
132,4525,科创板第一支上市股，第一支重组股，你就是科创板里的标杆儿！！！先到100吧！！,2020年3月10日,0,688001,科创板 第一支 上市 第一支 重组股 科创板 里 标杆 先到
133,5296,明明是利好！你们确不涨,2020年1月22日,0,688001,明明 利好 确不涨
134,8351,别演了，赶紧跌停吧,2019年9月10日,0,688001,别演 赶紧 跌停
135,10622,从3000股一直减到还有300股，随便你们玩了，垃圾股，,2019年7月26日,0,688001,一直 减 随便 玩 垃圾股
136,3898,华兴源创：融资净买入901.34万元，融资余额8648.01万元（05-06）,2020年5月7日,2,688001,融资 净 买入 万元 融资 余额 万元
137,6606,今年最后一次逃命机会出现,2019年12月10日,2,688001,今年 最后 一次 逃命 机会 出现
138,11260,机构哪里来的那么多股卖,2019年7月22日,0,688001,机构 多股 卖
139,3102,尾盘已清，假耳机,2020年6月18日,0,688001,尾盘 已清 假 耳机
140,1313,华兴源创盘前回顾(01-18),2021年1月19日,2,688001,盘前 回顾
141,1316,688001:华兴源创2020年度业绩预增公告,2021年1月18日,1,688001,年度 业绩 预增 公告
142,2877,业绩承压，市盈率第一高，收购涉及利益输送,2020年7月2日,0,688001,业绩 承压 市盈率 第一 高 收购 涉及 利益输送
143,11480,卧槽！不是百分之一千的怼类吗,2019年7月22日,0,688001,卧槽 百分之一 千 怼 类
144,388,今天反弹失败，明天还得快跌一波,2021年8月13日,0,688001,今天 反弹 失败 明天 快 跌 一波
145,10394,妖，妖，会是你吗？,2019年7月30日,0,688001,妖 妖 会
146,7173,今天，20191126，科创板两点半拉，华兴看着办[微笑][大笑],2019年11月26日,2,688001,今天 科创板 两点 半拉 华兴 看着办 微笑 大笑
147,9446,一会20个点下杀,2019年8月8日,0,688001,一会 个点 杀
148,5132,3000股，只有500股了！,2020年2月10日,0,688001,
149,8637,破位了，只有更低,2019年8月29日,0,688001,破位 更 低
150,12330,中了么？谢谢！,2019年6月28日,0,688001,中 谢谢
151,1421,华兴源创盘前回顾(12-30),2020年12月31日,2,688001,盘前 回顾
152,1530,阿斗股,2020年12月17日,0,688001,阿斗
153,12805,中华振兴源自科创,2019年6月27日,2,688001,中华 振兴 源自 科创
154,12446,发行价27元，发行市盈率46倍,2019年6月28日,0,688001,发行价 元 发行 市盈率 倍
155,12148,[胜利][胜利][胜利],2019年6月30日,2,688001,胜利 胜利 胜利
156,12127,大神帮我看看尾号5341，能中吗,2019年6月30日,2,688001,大神 帮 看看 尾号 中
157,7597,没个底，谁还玩。破发吧,2019年11月5日,0,688001,没个 底 玩 破发
158,11933,马的，9点半左右认购的。最后竟然是未中签[哭],2019年7月2日,0,688001,马 点 半左右 认购 最后 竟然 未 中 签 哭
159,12653,我的配合是557开始的 571结束 是不是中奖了[鼓掌],2019年6月27日,2,688001,配合 开始 结束 是不是 中奖 鼓掌
160,2523,为啥还有压盘的，跌成啥样了,2020年7月17日,0,688001,为啥 压盘 跌成 样
161,4247,华兴源创：融资净偿还87.85万元，融资余额8753.94万元（03-27）,2020年3月30日,2,688001,融资 净 偿还 万元 融资 余额 万元
162,8268,科创是无底洞,2019年9月16日,0,688001,科创 无底洞
163,5743,洗得差不多了吧……[围观][想一下][俏皮],2019年12月31日,2,688001,洗 差不多 围观 想 一下 俏皮
164,12889,本票中到可以赚10万,2019年6月26日,2,688001,本票 中到 赚 万
165,10513,多空博弈688001，钱多还是券多？融券或者买股票砸盘做空，极限就是流通盘的三千,2019年7月28日,0,688001,多空 博弈 钱 券多 融券 买 股票 砸 盘 做空 极限 流通盘 三千
166,7112,不破发不进，宁愿错过,2019年12月3日,0,688001,不破 发不进 错过
167,11070,猜超过茅台要几个交易日,2019年7月22日,2,688001,猜 超过 茅台 几个 交易日
168,3606,科创板首单并购重组审核通过！华兴源创再“吃螃蟹”,2020年5月26日,2,688001,科创板 首单 并购 重组 审核 吃螃蟹
169,4532,明天不乐观，低开五个点以上,2020年3月9日,0,688001,明天 乐观 低开 五个 点
170,3476,华兴源创：融资净偿还9.07万元，融资余额9734.75万元（05-28）,2020年5月29日,2,688001,融资 净 偿还 万元 融资 余额 万元
171,5356,“ST主升浪”和“新股大神仙”这两托儿，只要跟他们反向操作，就美腻了！[大笑],2020年1月20日,2,688001,主升浪 新股 神仙 两 托儿 反向 操作 美腻 大笑
172,3766,星星科技关注,2020年5月14日,2,688001,星星 科技 关注
173,628,主升浪已经来临，加仓干！！,2021年7月12日,0,688001,主升浪 已经 来临 加仓 干
174,6799,明天上午让你们好好砸。,2019年12月9日,0,688001,明天 上午 好好 砸
175,304,你是科创板里最差的票,2021年8月24日,0,688001,科 创板 里 最差 票
176,3306,弱势股赚个小反弹就可以了，真看不惯那些瞎喊50、60的，瞎搞,2020年6月10日,0,688001,弱势 赚 反弹 真 看不惯 瞎 喊 瞎搞
177,6213,能跑的快跑吧，完全破位没有任何支撑了。塔娜的出货的全是游资，今天要跌停了吧,2019年12月13日,0,688001,跑的快 跑 完全 破位 没有 支撑 塔娜 出货 全是 游资 今天 跌停
178,12899,每个人可以申购7500股，意味着中1个签是500股而不是1000股，和深圳的玩法一样了,2019年6月26日,0,688001,每个 申购 意味着 中 签是 股而 深圳 玩法
179,5362,乐鑫马上停了，你个垃圾,2020年1月20日,0,688001,乐鑫 马上 停 垃圾
180,8156,超大户没动静,2019年9月24日,0,688001,超 大户 没动静
181,12363,拜财神，保佑中签华兴源创！,2019年6月28日,2,688001,拜 财神 保佑 中签
182,7252,一直向下绝不回头。,2019年11月21日,2,688001,一直 向下 绝不 回头
183,6087,真是有毒,2019年12月17日,0,688001,真是 有毒
184,6934,高开这么多，不追了,2019年12月9日,0,688001,高开 追
185,7807,天呐，这是一只只会跌的股！,2019年10月21日,0,688001,天呐 这是 一只 只会 跌
186,6029,重组有什么利好消息？,2019年12月18日,0,688001,重组 利好 消息
187,10026,688001转30、中央部署下半年经济工作 5G等新型基建受关注002509.6,2019年8月2日,2,688001,转 中央 部署 下半年 经济 工作 新型 基建 受 关注
188,9157,判断未来三天走势的指标很灵！,2019年8月13日,2,688001,判断 未来 三天 走势 指标 很灵
189,3046,看看安集，过了压力位一路涨停，看看这货，到了48肯定出货下跌,2020年6月22日,0,688001,看看 安集 压力 位 一路 涨停 看看 这货 肯定 出货 下跌
190,11213,仅一签155卖了。回A股捡货去了,2019年7月22日,0,688001,仅 一签 卖 回 股 捡 货去
191,7739,华兴源创(688001)融资融券信息(10-25),2019年10月26日,2,688001,融资 融券 信息
192,10693,纯高科技,2019年7月25日,2,688001,纯 高科技
193,11646,科创板申购一个未中，是祸是福？,2019年7月15日,0,688001,科创板 申购 一个 未中 祸 福
194,12730,科创板第一股，上市就卖，还是持有？,2019年6月27日,0,688001,科创板 第一股 上市 卖 持有
195,682,华兴源创连续5周融资净买入合计1172.65万元,2021年6月27日,2,688001,连续 周 融资 净 买入 合计 万元
196,9395,可不可以跌个20%看看？,2019年8月8日,0,688001,可不可以 跌个 看看
197,991,华兴源创(688001)融资融券信息(04-21),2021年4月22日,2,688001,融资 融券 信息
198,10152,我的妈呀,2019年8月1日,2,688001,妈呀
199,11963,开盘观望！宁可错过，绝不做错！！！,2019年7月2日,0,688001,开盘 观望 错过 绝不 做错
200,10864,学一学,2019年7月24日,2,688001,学一学
201,3663,分红一毛三分钱，跌了二元三毛柒分！中微二百多，华兴四十不到！这就是股市！,2020年5月22日,0,688001,分红 一毛 三分 钱 跌 二元 三毛 柒分 中微 二百多 华兴 四十 不到 股市
202,1536,华兴源创(688001)融资融券信息(12-16),2020年12月17日,2,688001,融资 融券 信息
203,10528,7月29日牛熊分水岭：54.71（谐音蛮有意思的）,2019年7月27日,2,688001,月 日牛熊 分水岭 谐音 蛮有意思
204,2744,耍流氓功夫华兴实属第一,2020年7月8日,0,688001,耍流氓 功夫 华兴 实属 第一
205,7831,华兴源创会跌破发行价24.26吗？如果会，跌破发行价需要多长时间？,2019年10月18日,0,688001,会 跌破 发行价 会 跌破 发行价 需要 多长时间
206,9352,虽然亏钱，做T做的不亦乐乎,2019年8月9日,0,688001,亏钱 做 做 不亦乐乎
207,8390,降准4大指数反弹会创新高/科创板不大幅回落就不进！,2019年9月8日,0,688001,降准 指数 反弹 会 创新 高 科创板 大幅 回落 不进
208,9331,跌停不，涨停否,2019年8月9日,0,688001,跌停 涨停 否
209,10149,涨停板,2019年8月1日,0,688001,涨停板
210,9794,你有闲散资金可以搞科研呀……,2019年8月5日,0,688001,闲散 资金 搞 科研
211,2228,发行价还有一倍。前期上市突击入股的还有最少2倍的利润,2020年8月25日,0,688001,发行价 一倍 前期 上市 突击 入股 最少 倍 利润
212,10196,记住；效益第一题材都是浮云！,2019年8月1日,0,688001,记住 效益 第一 题材 都 浮云
213,11870,科创板实行市场化定价机制 主承销商想“捡漏”不容易,2019年7月4日,0,688001,科创板 实行 市场化 定价 机制 主 承销商 想 捡漏 容易
214,8414,继续加仓,2019年9月6日,2,688001,继续 加仓
215,3706,41.88卖出,2020年5月19日,0,688001,卖出
216,5316,再跌30个点,2020年1月21日,0,688001,跌 个点
217,10306,也许还会下跌，但反弹是必然的，逢低买入加仓。，,2019年7月31日,1,688001,也许 还会 下跌 反弹 必然 逢 低 买入 加仓
218,12814,都想中签吗？[想一下],2019年6月27日,0,688001,都 想 中 签 想 一下
219,5123,明天买点，等着涨停,2020年2月11日,2,688001,明天 买点 涨停
220,7825,没用的东西，,2019年10月18日,0,688001,没用 东西
221,3797,这个成交量[哭],2020年5月13日,0,688001,成交量 哭
222,3843,和昨天一模一样的走势,2020年5月8日,2,688001,昨天 一模一样 走势
223,8144,15点，33.6万股，看起来是有量的，这个股，跟随。如果跌4个点以上，就补仓。,2019年9月24日,0,688001,点 万股 看起来 有量 跟随 跌 个点 补仓
224,4230,又耍流氓了,2020年4月1日,0,688001,耍流氓
225,7066,688001:华兴源创第一届董事会第十三次会议决议公告,2019年12月6日,2,688001,第一届 董事会 第十三次 会议 决议 公告
226,10778,成功在最高点接盘,2019年7月24日,2,688001,成功 最高点 接盘
227,9554,明天两只上市，买入,2019年8月7日,2,688001,明天 两只 上市 买入
228,3209,科技垃圾泡沫股,2020年6月15日,0,688001,科技 垃圾 泡沫
229,8146,难得大涨一天！,2019年9月24日,2,688001,难得 大涨 一天
230,4701,没有到位，37可以考虑进入！！！,2020年3月2日,0,688001,没有 到位 考虑 进入
231,3714,真是活见鬼，人家高科技跌，关你啥事！,2020年5月18日,0,688001,真是 活见鬼 高科技 跌 关 啥事
232,1223,大盘涨了，你也跌了,2021年2月3日,0,688001,大盘 涨 跌
233,12143,为什么华兴源创是科创板第一股？？？名字有良好的寓意！！！！！中华复兴源于创新！！,2019年6月30日,0,688001,科 创板 第一股 名字 良好 寓意 中华 复兴 源于 创新
234,10950,科创板第一号股，参考创业板第一号股上涨10倍（复权价23.8到232元）,2019年7月23日,0,688001,科创板 第一号 参考 创业板 第一号 上涨 倍 复权 价 元
235,3774,华兴源创：连续3日融资净买入累计271.19万元（05-13）,2020年5月14日,2,688001,连续 日 融资 净 买入 累计 万元
236,1358,华兴源创：融资净买入5.46万元，融资余额6508.55万元（01-11）,2021年1月12日,2,688001,融资 净 买入 万元 融资 余额 万元
237,2827,今天看你飞,2020年7月3日,2,688001,今天 飞
238,6361,科创板开市以来17家公司股价翻倍，券商揽入7.48亿元佣金,2019年12月11日,0,688001,科创板 开市 家 公司 股价 翻倍 券商 揽入 亿元 佣金
239,11638,开盘当日直接上18元,2019年7月16日,2,688001,开盘 当日 直接 元
240,2648,51.5下方，再次融满打满！[大笑][大笑][大笑][大笑],2020年7月10日,2,688001,下方 再次 融满 打满 大笑 大笑 大笑 大笑
241,11540,没有韭菜[胜利][胜利][胜利]只有镰刀,2019年7月21日,1,688001,没有 韭菜 胜利 胜利 胜利 镰刀
242,9602,满上！！！,2019年8月7日,2,688001,满上
243,6657,科创板无涨停10%限制？,2019年12月10日,0,688001,科创板 涨停 限制
244,4597,688001:华兴源创:交易对方按照《若干问题的规定》第一条的要求出具的关于所提供内容真实、准确、完整的承诺,2020年3月8日,2,688001,交易 若干 问题 规定 第一条 要求 出具 提供 内容 真实 准确 完整 承诺
245,7909,怎么看股票发行价？？,2019年10月14日,0,688001,股票 发行价
246,1538,华兴源创：印度代工厂暴力事件等因素或促使苹果公司海外部分产能转移国内,2020年12月16日,2,688001,印度 代工厂 暴力事件 因素 促使 苹果公司 海外 部分 产能 转移 国内
247,5410,您好，董秘，贵公司周末发的业绩修正是2019三季度？还是2018年三季度？？对2,2020年1月20日,0,688001,您好 董秘 贵 公司 周末 发 业绩 修正 三季度 年 三季度
248,709,追求高质量生活，关注大健康产业,2021年6月19日,2,688001,追求 高质量 生活 关注 健康 产业
249,11945,上市交易当天如果破发就买，没破发不买,2019年7月2日,0,688001,上市 交易 当天 破发 买 没破 发不买
250,11592,中华复兴源于科创板！,2019年7月18日,2,688001,中华 复兴 源于 科创板
251,6034,开拉上影线，哈哈，[胜利],2019年12月18日,2,688001,开拉 上影线 胜利
